"Cycle 1:Pt #001:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.704730e+002,2.178570e+004,2.178570e+004,2.178570e+004,,8.162070e+002,1.742856e+004,1.742856e+004,1.742856e+004
6.705730e+002,2.173010e+004,2.173010e+004,2.173010e+004,,8.161070e+002,1.738408e+004,1.738408e+004,1.738408e+004
6.706730e+002,2.142640e+004,2.142640e+004,2.142640e+004,,8.160070e+002,1.714112e+004,1.714112e+004,1.714112e+004
6.707730e+002,2.175810e+004,2.175810e+004,2.175810e+004,,8.159070e+002,1.740648e+004,1.740648e+004,1.740648e+004
6.708730e+002,2.161780e+004,2.161780e+004,2.161780e+004,,8.158070e+002,1.729424e+004,1.729424e+004,1.729424e+004
6.709730e+002,2.171720e+004,2.171720e+004,2.171720e+004,,8.157070e+002,1.737376e+004,1.737376e+004,1.737376e+004
6.710730e+002,2.169070e+004,2.169070e+004,2.169070e+004,,8.156070e+002,1.735256e+004,1.735256e+004,1.735256e+004
6.711730e+002,2.156080e+004,2.156080e+004,2.156080e+004,,8.155070e+002,1.724864e+004,1.724864e+004,1.724864e+004
6.712730e+002,2.178600e+004,2.178600e+004,2.178600e+004,,8.154070e+002,1.742880e+004,1.742880e+004,1.742880e+004
6.713730e+002,2.164580e+004,2.164580e+004,2.164580e+004,,8.153070e+002,1.731664e+004,1.731664e+004,1.731664e+004
6.714730e+002,2.167520e+004,2.167520e+004,2.167520e+004,,8.152070e+002,1.734016e+004,1.734016e+004,1.734016e+004
6.715730e+002,2.138120e+004,2.138120e+004,2.138120e+004,,8.151070e+002,1.710496e+004,1.710496e+004,1.710496e+004
6.716730e+002,2.147940e+004,2.147940e+004,2.147940e+004,,8.150070e+002,1.718352e+004,1.718352e+004,1.718352e+004
6.717730e+002,2.185650e+004,2.185650e+004,2.185650e+004,,8.149070e+002,1.748520e+004,1.748520e+004,1.748520e+004
6.718730e+002,2.170860e+004,2.170860e+004,2.170860e+004,,8.148070e+002,1.736688e+004,1.736688e+004,1.736688e+004
6.719730e+002,2.166000e+004,2.166000e+004,2.166000e+004,,8.147070e+002,1.732800e+004,1.732800e+004,1.732800e+004
6.720730e+002,2.160710e+004,2.160710e+004,2.160710e+004,,8.146070e+002,1.728568e+004,1.728568e+004,1.728568e+004
6.721730e+002,2.158510e+004,2.158510e+004,2.158510e+004,,8.145070e+002,1.726808e+004,1.726808e+004,1.726808e+004
6.722730e+002,2.183610e+004,2.183610e+004,2.183610e+004,,8.144070e+002,1.746888e+004,1.746888e+004,1.746888e+004
6.723730e+002,2.166570e+004,2.166570e+004,2.166570e+004,,8.143070e+002,1.733256e+004,1.733256e+004,1.733256e+004
6.724730e+002,2.156460e+004,2.156460e+004,2.156460e+004,,8.142070e+002,1.725168e+004,1.725168e+004,1.725168e+004
6.725730e+002,2.115670e+004,2.115670e+004,2.115670e+004,,8.141070e+002,1.692536e+004,1.692536e+004,1.692536e+004
6.726730e+002,2.155880e+004,2.155880e+004,2.155880e+004,,8.140070e+002,1.724704e+004,1.724704e+004,1.724704e+004
6.727730e+002,2.179810e+004,2.179810e+004,2.179810e+004,,8.139070e+002,1.743848e+004,1.743848e+004,1.743848e+004
6.728730e+002,2.156720e+004,2.156720e+004,2.156720e+004,,8.138070e+002,1.725376e+004,1.725376e+004,1.725376e+004
6.729730e+002,2.132290e+004,2.132290e+004,2.132290e+004,,8.137070e+002,1.705832e+004,1.705832e+004,1.705832e+004
