"Cycle 0:Pt #001:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.703260e+002,2.247020e+004,2.247020e+004,2.247020e+004,,8.163540e+002,1.797616e+004,1.797616e+004,1.797616e+004
6.704260e+002,2.230020e+004,2.230020e+004,2.230020e+004,,8.162540e+002,1.784016e+004,1.784016e+004,1.784016e+004
6.705260e+002,2.242550e+004,2.242550e+004,2.242550e+004,,8.161540e+002,1.794040e+004,1.794040e+004,1.794040e+004
6.706260e+002,2.208220e+004,2.208220e+004,2.208220e+004,,8.160540e+002,1.766576e+004,1.766576e+004,1.766576e+004
6.707260e+002,2.208830e+004,2.208830e+004,2.208830e+004,,8.159540e+002,1.767064e+004,1.767064e+004,1.767064e+004
6.708260e+002,2.250940e+004,2.250940e+004,2.250940e+004,,8.158540e+002,1.800752e+004,1.800752e+004,1.800752e+004
6.709260e+002,2.232780e+004,2.232780e+004,2.232780e+004,,8.157540e+002,1.786224e+004,1.786224e+004,1.786224e+004
6.710260e+002,2.238850e+004,2.238850e+004,2.238850e+004,,8.156540e+002,1.791080e+004,1.791080e+004,1.791080e+004
6.711260e+002,2.220050e+004,2.220050e+004,2.220050e+004,,8.155540e+002,1.776040e+004,1.776040e+004,1.776040e+004
6.712260e+002,2.209020e+004,2.209020e+004,2.209020e+004,,8.154540e+002,1.767216e+004,1.767216e+004,1.767216e+004
6.713260e+002,2.220020e+004,2.220020e+004,2.220020e+004,,8.153540e+002,1.776016e+004,1.776016e+004,1.776016e+004
6.714260e+002,2.211780e+004,2.211780e+004,2.211780e+004,,8.152540e+002,1.769424e+004,1.769424e+004,1.769424e+004
6.715260e+002,2.241250e+004,2.241250e+004,2.241250e+004,,8.151540e+002,1.793000e+004,1.793000e+004,1.793000e+004
6.716260e+002,2.199610e+004,2.199610e+004,2.199610e+004,,8.150540e+002,1.759688e+004,1.759688e+004,1.759688e+004
6.717260e+002,2.231560e+004,2.231560e+004,2.231560e+004,,8.149540e+002,1.785248e+004,1.785248e+004,1.785248e+004
6.718260e+002,2.213160e+004,2.213160e+004,2.213160e+004,,8.148540e+002,1.770528e+004,1.770528e+004,1.770528e+004
6.719260e+002,2.215520e+004,2.215520e+004,2.215520e+004,,8.147540e+002,1.772416e+004,1.772416e+004,1.772416e+004
6.720260e+002,2.199850e+004,2.199850e+004,2.199850e+004,,8.146540e+002,1.759880e+004,1.759880e+004,1.759880e+004
6.721260e+002,2.219680e+004,2.219680e+004,2.219680e+004,,8.145540e+002,1.775744e+004,1.775744e+004,1.775744e+004
6.722260e+002,2.220620e+004,2.220620e+004,2.220620e+004,,8.144540e+002,1.776496e+004,1.776496e+004,1.776496e+004
6.723260e+002,2.208600e+004,2.208600e+004,2.208600e+004,,8.143540e+002,1.766880e+004,1.766880e+004,1.766880e+004
6.724260e+002,2.243530e+004,2.243530e+004,2.243530e+004,,8.142540e+002,1.794824e+004,1.794824e+004,1.794824e+004
6.725260e+002,2.217950e+004,2.217950e+004,2.217950e+004,,8.141540e+002,1.774360e+004,1.774360e+004,1.774360e+004
6.726260e+002,2.218060e+004,2.218060e+004,2.218060e+004,,8.140540e+002,1.774448e+004,1.774448e+004,1.774448e+004
6.727260e+002,2.222720e+004,2.222720e+004,2.222720e+004,,8.139540e+002,1.778176e+004,1.778176e+004,1.778176e+004
6.728260e+002,2.199100e+004,2.199100e+004,2.199100e+004,,8.138540e+002,1.759280e+004,1.759280e+004,1.759280e+004
6.729260e+002,2.210260e+004,2.210260e+004,2.210260e+004,,8.137540e+002,1.768208e+004,1.768208e+004,1.768208e+004
6.730260e+002,2.193170e+004,2.193170e+004,2.193170e+004,,8.136540e+002,1.754536e+004,1.754536e+004,1.754536e+004
6.731260e+002,2.212040e+004,2.212040e+004,2.212040e+004,,8.135540e+002,1.769632e+004,1.769632e+004,1.769632e+004
6.732260e+002,2.220310e+004,2.220310e+004,2.220310e+004,,8.134540e+002,1.776248e+004,1.776248e+004,1.776248e+004
6.733260e+002,2.198160e+004,2.198160e+004,2.198160e+004,,8.133540e+002,1.758528e+004,1.758528e+004,1.758528e+004
6.734260e+002,2.202730e+004,2.202730e+004,2.202730e+004,,8.132540e+002,1.762184e+004,1.762184e+004,1.762184e+004
6.735260e+002,2.194380e+004,2.194380e+004,2.194380e+004,,8.131540e+002,1.755504e+004,1.755504e+004,1.755504e+004
6.736260e+002,2.210570e+004,2.210570e+004,2.210570e+004,,8.130540e+002,1.768456e+004,1.768456e+004,1.768456e+004
6.737260e+002,2.185980e+004,2.185980e+004,2.185980e+004,,8.129540e+002,1.748784e+004,1.748784e+004,1.748784e+004
6.738260e+002,2.198030e+004,2.198030e+004,2.198030e+004,,8.128540e+002,1.758424e+004,1.758424e+004,1.758424e+004
6.739260e+002,2.209520e+004,2.209520e+004,2.209520e+004,,8.127540e+002,1.767616e+004,1.767616e+004,1.767616e+004
