"Cycle 1:Pt #002:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.703410e+002,2.418710e+004,2.418710e+004,2.418710e+004,,8.163390e+002,1.934968e+004,1.934968e+004,1.934968e+004
6.704410e+002,2.428290e+004,2.428290e+004,2.428290e+004,,8.162390e+002,1.942632e+004,1.942632e+004,1.942632e+004
6.705410e+002,2.409330e+004,2.409330e+004,2.409330e+004,,8.161390e+002,1.927464e+004,1.927464e+004,1.927464e+004
6.706410e+002,2.418240e+004,2.418240e+004,2.418240e+004,,8.160390e+002,1.934592e+004,1.934592e+004,1.934592e+004
6.707410e+002,2.407160e+004,2.407160e+004,2.407160e+004,,8.159390e+002,1.925728e+004,1.925728e+004,1.925728e+004
6.708410e+002,2.389640e+004,2.389640e+004,2.389640e+004,,8.158390e+002,1.911712e+004,1.911712e+004,1.911712e+004
6.709410e+002,2.392600e+004,2.392600e+004,2.392600e+004,,8.157390e+002,1.914080e+004,1.914080e+004,1.914080e+004
6.710410e+002,2.390510e+004,2.390510e+004,2.390510e+004,,8.156390e+002,1.912408e+004,1.912408e+004,1.912408e+004
6.711410e+002,2.379190e+004,2.379190e+004,2.379190e+004,,8.155390e+002,1.903352e+004,1.903352e+004,1.903352e+004
6.712410e+002,2.389930e+004,2.389930e+004,2.389930e+004,,8.154390e+002,1.911944e+004,1.911944e+004,1.911944e+004
6.713410e+002,2.383620e+004,2.383620e+004,2.383620e+004,,8.153390e+002,1.906896e+004,1.906896e+004,1.906896e+004
6.714410e+002,2.370760e+004,2.370760e+004,2.370760e+004,,8.152390e+002,1.896608e+004,1.896608e+004,1.896608e+004
6.715410e+002,2.372720e+004,2.372720e+004,2.372720e+004,,8.151390e+002,1.898176e+004,1.898176e+004,1.898176e+004
6.716410e+002,2.385230e+004,2.385230e+004,2.385230e+004,,8.150390e+002,1.908184e+004,1.908184e+004,1.908184e+004
6.717410e+002,2.388020e+004,2.388020e+004,2.388020e+004,,8.149390e+002,1.910416e+004,1.910416e+004,1.910416e+004
6.718410e+002,2.390630e+004,2.390630e+004,2.390630e+004,,8.148390e+002,1.912504e+004,1.912504e+004,1.912504e+004
6.719410e+002,2.374340e+004,2.374340e+004,2.374340e+004,,8.147390e+002,1.899472e+004,1.899472e+004,1.899472e+004
6.720410e+002,2.386160e+004,2.386160e+004,2.386160e+004,,8.146390e+002,1.908928e+004,1.908928e+004,1.908928e+004
6.721410e+002,2.355700e+004,2.355700e+004,2.355700e+004,,8.145390e+002,1.884560e+004,1.884560e+004,1.884560e+004
6.722410e+002,2.376390e+004,2.376390e+004,2.376390e+004,,8.144390e+002,1.901112e+004,1.901112e+004,1.901112e+004
6.723410e+002,2.382080e+004,2.382080e+004,2.382080e+004,,8.143390e+002,1.905664e+004,1.905664e+004,1.905664e+004
6.724410e+002,2.402490e+004,2.402490e+004,2.402490e+004,,8.142390e+002,1.921992e+004,1.921992e+004,1.921992e+004
6.725410e+002,2.374290e+004,2.374290e+004,2.374290e+004,,8.141390e+002,1.899432e+004,1.899432e+004,1.899432e+004
6.726410e+002,2.381000e+004,2.381000e+004,2.381000e+004,,8.140390e+002,1.904800e+004,1.904800e+004,1.904800e+004
6.727410e+002,2.395140e+004,2.395140e+004,2.395140e+004,,8.139390e+002,1.916112e+004,1.916112e+004,1.916112e+004
6.728410e+002,2.384040e+004,2.384040e+004,2.384040e+004,,8.138390e+002,1.907232e+004,1.907232e+004,1.907232e+004
6.729410e+002,2.351900e+004,2.351900e+004,2.351900e+004,,8.137390e+002,1.881520e+004,1.881520e+004,1.881520e+004
6.730410e+002,2.339620e+004,2.339620e+004,2.339620e+004,,8.136390e+002,1.871696e+004,1.871696e+004,1.871696e+004
6.731410e+002,2.350710e+004,2.350710e+004,2.350710e+004,,8.135390e+002,1.880568e+004,1.880568e+004,1.880568e+004
6.732410e+002,2.356980e+004,2.356980e+004,2.356980e+004,,8.134390e+002,1.885584e+004,1.885584e+004,1.885584e+004
6.733410e+002,2.338880e+004,2.338880e+004,2.338880e+004,,8.133390e+002,1.871104e+004,1.871104e+004,1.871104e+004
6.734410e+002,2.354730e+004,2.354730e+004,2.354730e+004,,8.132390e+002,1.883784e+004,1.883784e+004,1.883784e+004
6.735410e+002,2.385200e+004,2.385200e+004,2.385200e+004,,8.131390e+002,1.908160e+004,1.908160e+004,1.908160e+004
6.736410e+002,2.365280e+004,2.365280e+004,2.365280e+004,,8.130390e+002,1.892224e+004,1.892224e+004,1.892224e+004
6.737410e+002,2.357260e+004,2.357260e+004,2.357260e+004,,8.129390e+002,1.885808e+004,1.885808e+004,1.885808e+004
6.738410e+002,2.372010e+004,2.372010e+004,2.372010e+004,,8.128390e+002,1.897608e+004,1.897608e+004,1.897608e+004
6.739410e+002,2.360870e+004,2.360870e+004,2.360870e+004,,8.127390e+002,1.888696e+004,1.888696e+004,1.888696e+004
6.740410e+002,2.373760e+004,2.373760e+004,2.373760e+004,,8.126390e+002,1.899008e+004,1.899008e+004,1.899008e+004
