"Cycle 2:Pt #002:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.766620e+002,2.256920e+004,2.256920e+004,2.256920e+004,,8.100180e+002,1.805536e+004,1.805536e+004,1.805536e+004
6.767620e+002,2.263790e+004,2.263790e+004,2.263790e+004,,8.099180e+002,1.811032e+004,1.811032e+004,1.811032e+004
6.768620e+002,2.237360e+004,2.237360e+004,2.237360e+004,,8.098180e+002,1.789888e+004,1.789888e+004,1.789888e+004
6.769620e+002,2.262980e+004,2.262980e+004,2.262980e+004,,8.097180e+002,1.810384e+004,1.810384e+004,1.810384e+004
6.770620e+002,2.265000e+004,2.265000e+004,2.265000e+004,,8.096180e+002,1.812000e+004,1.812000e+004,1.812000e+004
6.771620e+002,2.245180e+004,2.245180e+004,2.245180e+004,,8.095180e+002,1.796144e+004,1.796144e+004,1.796144e+004
6.772620e+002,2.264250e+004,2.252642e+004,2.252642e+004,,8.094180e+002,1.811400e+004,1.802114e+004,1.802114e+004
6.773620e+002,2.233900e+004,2.252554e+004,2.252554e+004,,8.093180e+002,1.787120e+004,1.802043e+004,1.802043e+004
6.774620e+002,2.273510e+004,2.252454e+004,2.252454e+004,,8.092180e+002,1.818808e+004,1.801963e+004,1.801963e+004
6.775620e+002,2.271080e+004,2.252365e+004,2.252365e+004,,8.091180e+002,1.816864e+004,1.801892e+004,1.801892e+004
6.776620e+002,2.228170e+004,2.252251e+004,2.252251e+004,,8.090180e+002,1.782536e+004,1.801800e+004,1.801800e+004
6.777620e+002,2.234450e+004,2.252167e+004,2.252167e+004,,8.089180e+002,1.787560e+004,1.801733e+004,1.801733e+004
6.778620e+002,2.250490e+004,2.252159e+004,2.252159e+004,,8.088180e+002,1.800392e+004,1.801727e+004,1.801727e+004
6.779620e+002,2.237780e+004,2.252091e+004,2.252091e+004,,8.087180e+002,1.790224e+004,1.801673e+004,1.801673e+004
6.780620e+002,2.250300e+004,2.252082e+004,2.252082e+004,,8.086180e+002,1.800240e+004,1.801666e+004,1.801666e+004
6.781620e+002,2.247870e+004,2.252062e+004,2.252062e+004,,8.085180e+002,1.798296e+004,1.801650e+004,1.801650e+004
6.782620e+002,2.279440e+004,2.251932e+004,2.251932e+004,,8.084180e+002,1.823552e+004,1.801545e+004,1.801545e+004
6.783620e+002,2.262570e+004,2.251881e+004,2.251881e+004,,8.083180e+002,1.810056e+004,1.801505e+004,1.801505e+004
6.784620e+002,2.243400e+004,2.251841e+004,2.251841e+004,,8.082180e+002,1.794720e+004,1.801473e+004,1.801473e+004
6.785620e+002,2.236560e+004,2.251769e+004,2.251769e+004,,8.081180e+002,1.789248e+004,1.801415e+004,1.801415e+004
6.786620e+002,2.254160e+004,2.251757e+004,2.251757e+004,,8.080180e+002,1.803328e+004,1.801406e+004,1.801406e+004
6.787620e+002,2.277190e+004,2.251636e+004,2.251636e+004,,8.079180e+002,1.821752e+004,1.801309e+004,1.801309e+004
