"Cycle 2:Pt #001:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.720890e+002,2.392050e+004,2.392050e+004,2.392050e+004,,8.145910e+002,1.913640e+004,1.913640e+004,1.913640e+004
6.721890e+002,2.403230e+004,2.403230e+004,2.403230e+004,,8.144910e+002,1.922584e+004,1.922584e+004,1.922584e+004
6.722890e+002,2.398950e+004,2.398950e+004,2.398950e+004,,8.143910e+002,1.919160e+004,1.919160e+004,1.919160e+004
6.723890e+002,2.425050e+004,2.425050e+004,2.425050e+004,,8.142910e+002,1.940040e+004,1.940040e+004,1.940040e+004
6.724890e+002,2.383690e+004,2.383690e+004,2.383690e+004,,8.141910e+002,1.906952e+004,1.906952e+004,1.906952e+004
6.725890e+002,2.380900e+004,2.380900e+004,2.380900e+004,,8.140910e+002,1.904720e+004,1.904720e+004,1.904720e+004
6.726890e+002,2.385430e+004,2.385430e+004,2.385430e+004,,8.139910e+002,1.908344e+004,1.908344e+004,1.908344e+004
6.727890e+002,2.385550e+004,2.385550e+004,2.385550e+004,,8.138910e+002,1.908440e+004,1.908440e+004,1.908440e+004
6.728890e+002,2.384440e+004,2.384440e+004,2.384440e+004,,8.137910e+002,1.907552e+004,1.907552e+004,1.907552e+004
6.729890e+002,2.413450e+004,2.413450e+004,2.413450e+004,,8.136910e+002,1.930760e+004,1.930760e+004,1.930760e+004
6.730890e+002,2.397390e+004,2.397390e+004,2.397390e+004,,8.135910e+002,1.917912e+004,1.917912e+004,1.917912e+004
6.731890e+002,2.403700e+004,2.403700e+004,2.403700e+004,,8.134910e+002,1.922960e+004,1.922960e+004,1.922960e+004
6.732890e+002,2.395450e+004,2.395450e+004,2.395450e+004,,8.133910e+002,1.916360e+004,1.916360e+004,1.916360e+004
6.733890e+002,2.357970e+004,2.357970e+004,2.357970e+004,,8.132910e+002,1.886376e+004,1.886376e+004,1.886376e+004
6.734890e+002,2.384020e+004,2.384020e+004,2.384020e+004,,8.131910e+002,1.907216e+004,1.907216e+004,1.907216e+004
6.735890e+002,2.370210e+004,2.370210e+004,2.370210e+004,,8.130910e+002,1.896168e+004,1.896168e+004,1.896168e+004
6.736890e+002,2.373230e+004,2.373230e+004,2.373230e+004,,8.129910e+002,1.898584e+004,1.898584e+004,1.898584e+004
6.737890e+002,2.386650e+004,2.386650e+004,2.386650e+004,,8.128910e+002,1.909320e+004,1.909320e+004,1.909320e+004
6.738890e+002,2.390830e+004,2.390830e+004,2.390830e+004,,8.127910e+002,1.912664e+004,1.912664e+004,1.912664e+004
6.739890e+002,2.386680e+004,2.386680e+004,2.386680e+004,,8.126910e+002,1.909344e+004,1.909344e+004,1.909344e+004
6.740890e+002,2.388590e+004,2.388590e+004,2.388590e+004,,8.125910e+002,1.910872e+004,1.910872e+004,1.910872e+004
6.741890e+002,2.378910e+004,2.378910e+004,2.378910e+004,,8.124910e+002,1.903128e+004,1.903128e+004,1.903128e+004
6.742890e+002,2.369500e+004,2.369500e+004,2.369500e+004,,8.123910e+002,1.895600e+004,1.895600e+004,1.895600e+004
6.743890e+002,2.377610e+004,2.377610e+004,2.377610e+004,,8.122910e+002,1.902088e+004,1.902088e+004,1.902088e+004
6.744890e+002,2.389760e+004,2.389760e+004,2.389760e+004,,8.121910e+002,1.911808e+004,1.911808e+004,1.911808e+004
6.745890e+002,2.371110e+004,2.371110e+004,2.371110e+004,,8.120910e+002,1.896888e+004,1.896888e+004,1.896888e+004
6.746890e+002,2.369300e+004,2.369300e+004,2.369300e+004,,8.119910e+002,1.895440e+004,1.895440e+004,1.895440e+004
6.747890e+002,2.381710e+004,2.381710e+004,2.381710e+004,,8.118910e+002,1.905368e+004,1.905368e+004,1.905368e+004
6.748890e+002,2.353700e+004,2.353700e+004,2.353700e+004,,8.117910e+002,1.882960e+004,1.882960e+004,1.882960e+004
6.749890e+002,2.344410e+004,2.344410e+004,2.344410e+004,,8.116910e+002,1.875528e+004,1.875528e+004,1.875528e+004
6.750890e+002,2.387260e+004,2.387260e+004,2.387260e+004,,8.115910e+002,1.909808e+004,1.909808e+004,1.909808e+004
6.751890e+002,2.360150e+004,2.360150e+004,2.360150e+004,,8.114910e+002,1.888120e+004,1.888120e+004,1.888120e+004
6.752890e+002,2.371140e+004,2.371140e+004,2.371140e+004,,8.113910e+002,1.896912e+004,1.896912e+004,1.896912e+004
6.753890e+002,2.370350e+004,2.370350e+004,2.370350e+004,,8.112910e+002,1.896280e+004,1.896280e+004,1.896280e+004
6.754890e+002,2.375390e+004,2.375390e+004,2.375390e+004,,8.111910e+002,1.900312e+004,1.900312e+004,1.900312e+004
6.755890e+002,2.385350e+004,2.385350e+004,2.385350e+004,,8.110910e+002,1.908280e+004,1.908280e+004,1.908280e+004
6.756890e+002,2.341210e+004,2.341210e+004,2.341210e+004,,8.109910e+002,1.872968e+004,1.872968e+004,1.872968e+004
6.757890e+002,2.346430e+004,2.346430e+004,2.346430e+004,,8.108910e+002,1.877144e+004,1.877144e+004,1.877144e+004
6.758890e+002,2.348870e+004,2.348870e+004,2.348870e+004,,8.107910e+002,1.879096e+004,1.879096e+004,1.879096e+004
6.759890e+002,2.364910e+004,2.364910e+004,2.364910e+004,,8.106910e+002,1.891928e+004,1.891928e+004,1.891928e+004
