"Cycle 0:Pt #002:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.702460e+002,2.282170e+004,2.282170e+004,2.282170e+004,,8.164340e+002,1.825736e+004,1.825736e+004,1.825736e+004
6.703460e+002,2.287950e+004,2.287950e+004,2.287950e+004,,8.163340e+002,1.830360e+004,1.830360e+004,1.830360e+004
6.704460e+002,2.278990e+004,2.278990e+004,2.278990e+004,,8.162340e+002,1.823192e+004,1.823192e+004,1.823192e+004
6.705460e+002,2.281770e+004,2.281770e+004,2.281770e+004,,8.161340e+002,1.825416e+004,1.825416e+004,1.825416e+004
6.706460e+002,2.280830e+004,2.280830e+004,2.280830e+004,,8.160340e+002,1.824664e+004,1.824664e+004,1.824664e+004
6.707460e+002,2.279970e+004,2.279970e+004,2.279970e+004,,8.159340e+002,1.823976e+004,1.823976e+004,1.823976e+004
6.708460e+002,2.270480e+004,2.270480e+004,2.270480e+004,,8.158340e+002,1.816384e+004,1.816384e+004,1.816384e+004
6.709460e+002,2.238940e+004,2.238940e+004,2.238940e+004,,8.157340e+002,1.791152e+004,1.791152e+004,1.791152e+004
6.710460e+002,2.257810e+004,2.257810e+004,2.257810e+004,,8.156340e+002,1.806248e+004,1.806248e+004,1.806248e+004
6.711460e+002,2.269930e+004,2.269930e+004,2.269930e+004,,8.155340e+002,1.815944e+004,1.815944e+004,1.815944e+004
6.712460e+002,2.255110e+004,2.255110e+004,2.255110e+004,,8.154340e+002,1.804088e+004,1.804088e+004,1.804088e+004
6.713460e+002,2.284540e+004,2.284540e+004,2.284540e+004,,8.153340e+002,1.827632e+004,1.827632e+004,1.827632e+004
6.714460e+002,2.232920e+004,2.232920e+004,2.232920e+004,,8.152340e+002,1.786336e+004,1.786336e+004,1.786336e+004
6.715460e+002,2.261720e+004,2.261720e+004,2.261720e+004,,8.151340e+002,1.809376e+004,1.809376e+004,1.809376e+004
6.716460e+002,2.249240e+004,2.249240e+004,2.249240e+004,,8.150340e+002,1.799392e+004,1.799392e+004,1.799392e+004
6.717460e+002,2.252590e+004,2.252590e+004,2.252590e+004,,8.149340e+002,1.802072e+004,1.802072e+004,1.802072e+004
6.718460e+002,2.223260e+004,2.223260e+004,2.223260e+004,,8.148340e+002,1.778608e+004,1.778608e+004,1.778608e+004
6.719460e+002,2.234150e+004,2.234150e+004,2.234150e+004,,8.147340e+002,1.787320e+004,1.787320e+004,1.787320e+004
6.720460e+002,2.235370e+004,2.235370e+004,2.235370e+004,,8.146340e+002,1.788296e+004,1.788296e+004,1.788296e+004
6.721460e+002,2.252950e+004,2.252950e+004,2.252950e+004,,8.145340e+002,1.802360e+004,1.802360e+004,1.802360e+004
6.722460e+002,2.254260e+004,2.254260e+004,2.254260e+004,,8.144340e+002,1.803408e+004,1.803408e+004,1.803408e+004
6.723460e+002,2.237480e+004,2.237480e+004,2.237480e+004,,8.143340e+002,1.789984e+004,1.789984e+004,1.789984e+004
6.724460e+002,2.224710e+004,2.224710e+004,2.224710e+004,,8.142340e+002,1.779768e+004,1.779768e+004,1.779768e+004
