"Cycle 1:CoEchem1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
7.954240e+002,9.896860e+003,9.490080e+003,9.490080e+003,,6.912560e+002,9.896860e+003,9.490080e+003,9.490080e+003
7.955240e+002,9.812620e+003,9.489639e+003,9.489639e+003,,6.911560e+002,9.812620e+003,9.489639e+003,9.489639e+003
7.956240e+002,9.818690e+003,9.489189e+003,9.489189e+003,,6.910560e+002,9.818690e+003,9.489189e+003,9.489189e+003
7.957240e+002,9.999420e+003,9.488491e+003,9.488491e+003,,6.909560e+002,9.999420e+003,9.488491e+003,9.488491e+003
7.958240e+002,9.759090e+003,9.488121e+003,9.488121e+003,,6.908560e+002,9.759090e+003,9.488121e+003,9.488121e+003
7.959240e+002,9.757240e+003,9.487752e+003,9.487752e+003,,6.907560e+002,9.757240e+003,9.487752e+003,9.487752e+003
7.960240e+002,1.002430e+004,9.487018e+003,9.487018e+003,,6.906560e+002,1.002430e+004,9.487018e+003,9.487018e+003
7.961240e+002,1.010610e+004,9.486171e+003,9.486171e+003,,6.905560e+002,1.010610e+004,9.486171e+003,9.486171e+003
7.962240e+002,1.009990e+004,9.485332e+003,9.485332e+003,,6.904560e+002,1.009990e+004,9.485332e+003,9.485332e+003
7.963240e+002,1.010140e+004,9.484489e+003,9.484489e+003,,6.903560e+002,1.010140e+004,9.484489e+003,9.484489e+003
7.964240e+002,1.029770e+004,9.483376e+003,9.483376e+003,,6.902560e+002,1.029770e+004,9.483376e+003,9.483376e+003
7.965240e+002,1.041130e+004,9.482106e+003,9.482106e+003,,6.901560e+002,1.041130e+004,9.482106e+003,9.482106e+003
7.966240e+002,1.057500e+004,9.480611e+003,9.480611e+003,,6.900560e+002,1.057500e+004,9.480611e+003,9.480611e+003
7.967240e+002,1.089110e+004,9.478681e+003,9.478681e+003,,6.899560e+002,1.089110e+004,9.478681e+003,9.478681e+003
7.968240e+002,1.073750e+004,9.476959e+003,9.476959e+003,,6.898560e+002,1.073750e+004,9.476959e+003,9.476959e+003
7.969240e+002,1.096440e+004,9.474924e+003,9.474924e+003,,6.897560e+002,1.096440e+004,9.474924e+003,9.474924e+003
7.970240e+002,1.130440e+004,9.472421e+003,9.472421e+003,,6.896560e+002,1.130440e+004,9.472421e+003,9.472421e+003
7.971240e+002,1.129900e+004,9.469922e+003,9.469922e+003,,6.895560e+002,1.129900e+004,9.469922e+003,9.469922e+003
7.972240e+002,1.168200e+004,9.466895e+003,9.466895e+003,,6.894560e+002,1.168200e+004,9.466895e+003,9.466895e+003
7.973240e+002,1.198050e+004,9.463456e+003,9.463456e+003,,6.893560e+002,1.198050e+004,9.463456e+003,9.463456e+003
7.974240e+002,1.220100e+004,9.459711e+003,9.459711e+003,,6.892560e+002,1.220100e+004,9.459711e+003,9.459711e+003
7.975240e+002,1.264930e+004,9.455347e+003,9.455347e+003,,6.891560e+002,1.264930e+004,9.455347e+003,9.455347e+003
7.976240e+002,1.305020e+004,9.450429e+003,9.450429e+003,,6.890560e+002,1.305020e+004,9.450429e+003,9.450429e+003
7.977240e+002,1.358380e+004,9.444774e+003,9.444774e+003,,6.889560e+002,1.358380e+004,9.444774e+003,9.444774e+003
7.978240e+002,1.406370e+004,9.438454e+003,9.438454e+003,,6.888560e+002,1.406370e+004,9.438454e+003,9.438454e+003
7.979240e+002,1.476370e+004,9.431168e+003,9.431168e+003,,6.887560e+002,1.476370e+004,9.431168e+003,9.431168e+003
7.980240e+002,1.508520e+004,9.423433e+003,9.423433e+003,,6.886560e+002,1.508520e+004,9.423433e+003,9.423433e+003
7.981240e+002,1.600230e+004,9.414432e+003,9.414432e+003,,6.885560e+002,1.600230e+004,9.414432e+003,9.414432e+003
7.982240e+002,1.665630e+004,9.404524e+003,9.404524e+003,,6.884560e+002,1.665630e+004,9.404524e+003,9.404524e+003
7.983240e+002,1.766670e+004,9.393220e+003,9.393220e+003,,6.883560e+002,1.766670e+004,9.393220e+003,9.393220e+003
7.984240e+002,1.822860e+004,9.381132e+003,9.381132e+003,,6.882560e+002,1.822860e+004,9.381132e+003,9.381132e+003
7.985240e+002,1.892410e+004,9.368075e+003,9.368075e+003,,6.881560e+002,1.892410e+004,9.368075e+003,9.368075e+003
7.986240e+002,2.002480e+004,9.353495e+003,9.353495e+003,,6.880560e+002,2.002480e+004,9.353495e+003,9.353495e+003
7.987240e+002,2.082290e+004,9.337803e+003,9.337803e+003,,6.879560e+002,2.082290e+004,9.337803e+003,9.337803e+003
7.988240e+002,2.153820e+004,9.321111e+003,9.321111e+003,,6.878560e+002,2.153820e+004,9.321111e+003,9.321111e+003
7.989240e+002,2.220270e+004,9.303487e+003,9.303487e+003,,6.877560e+002,2.220270e+004,9.303487e+003,9.303487e+003
7.990240e+002,2.201910e+004,9.286090e+003,9.286090e+003,,6.876560e+002,2.201910e+004,9.286090e+003,9.286090e+003
7.991240e+002,2.249750e+004,9.268015e+003,9.268015e+003,,6.875560e+002,2.249750e+004,9.268015e+003,9.268015e+003
