"Cycle 1:CoOTf1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.41","781.87","786.28","796.79","802.65",
FWHM,,"3.66","3.66","5.74","3.79","4.78",
Area,,"54536.57","40670.65","60855.51","39905.07","31127.76",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.729620e+002,6.873320e+004,6.874386e+004,6.874190e+004,6.876104e+004,6.876503e+004,6.881180e+004,6.873320e+004,6.889082e+004,,8.137180e+002,3.436660e+004,3.437193e+004,3.437095e+004,3.438052e+004,3.438251e+004,3.440590e+004,3.436660e+004,3.444541e+004
6.730620e+002,6.913450e+004,6.914522e+004,6.914325e+004,6.916255e+004,6.916669e+004,6.921468e+004,6.913450e+004,6.929440e+004,,8.136180e+002,3.456725e+004,3.457261e+004,3.457163e+004,3.458128e+004,3.458335e+004,3.460734e+004,3.456725e+004,3.464720e+004
6.731620e+002,6.914240e+004,6.915319e+004,6.915121e+004,6.917067e+004,6.917501e+004,6.922415e+004,6.914240e+004,6.930463e+004,,8.135180e+002,3.457120e+004,3.457659e+004,3.457560e+004,3.458534e+004,3.458751e+004,3.461207e+004,3.457120e+004,3.465231e+004
6.732620e+002,6.909240e+004,6.910326e+004,6.910127e+004,6.912089e+004,6.912543e+004,6.917572e+004,6.909240e+004,6.925696e+004,,8.134180e+002,3.454620e+004,3.455163e+004,3.455063e+004,3.456044e+004,3.456271e+004,3.458786e+004,3.454620e+004,3.462848e+004
6.733620e+002,6.886430e+004,6.887522e+004,6.887322e+004,6.889300e+004,6.889775e+004,6.894919e+004,6.886430e+004,6.903119e+004,,8.133180e+002,3.443215e+004,3.443761e+004,3.443661e+004,3.444650e+004,3.444887e+004,3.447460e+004,3.443215e+004,3.451559e+004
6.734620e+002,6.844230e+004,6.845329e+004,6.845128e+004,6.847122e+004,6.847617e+004,6.852894e+004,6.844230e+004,6.861169e+004,,8.132180e+002,3.422115e+004,3.422665e+004,3.422564e+004,3.423561e+004,3.423808e+004,3.426447e+004,3.422115e+004,3.430585e+004
6.735620e+002,6.846940e+004,6.848046e+004,6.847844e+004,6.849854e+004,6.850368e+004,6.855814e+004,6.846940e+004,6.864166e+004,,8.131180e+002,3.423470e+004,3.424023e+004,3.423922e+004,3.424927e+004,3.425184e+004,3.427907e+004,3.423470e+004,3.432083e+004
6.736620e+002,6.887420e+004,6.888532e+004,6.888329e+004,6.890355e+004,6.890890e+004,6.896505e+004,6.887420e+004,6.904933e+004,,8.130180e+002,3.443710e+004,3.444266e+004,3.444165e+004,3.445178e+004,3.445445e+004,3.448253e+004,3.443710e+004,3.452466e+004
6.737620e+002,6.878060e+004,6.879179e+004,6.878975e+004,6.881017e+004,6.881572e+004,6.887356e+004,6.878060e+004,6.895860e+004,,8.129180e+002,3.439030e+004,3.439590e+004,3.439488e+004,3.440509e+004,3.440786e+004,3.443678e+004,3.439030e+004,3.447930e+004
6.738620e+002,6.865050e+004,6.866176e+004,6.865971e+004,6.868029e+004,6.868610e+004,6.874557e+004,6.865050e+004,6.883143e+004,,8.128180e+002,3.432525e+004,3.433088e+004,3.432986e+004,3.434014e+004,3.434305e+004,3.437278e+004,3.432525e+004,3.441571e+004
6.739620e+002,6.877120e+004,6.878253e+004,6.878048e+004,6.880122e+004,6.880728e+004,6.886837e+004,6.877120e+004,6.895508e+004,,8.127180e+002,3.438560e+004,3.439127e+004,3.439024e+004,3.440061e+004,3.440364e+004,3.443419e+004,3.438560e+004,3.447754e+004
6.740620e+002,6.874990e+004,6.876131e+004,6.875924e+004,6.878017e+004,6.878646e+004,6.884918e+004,6.874990e+004,6.893674e+004,,8.126180e+002,3.437495e+004,3.438065e+004,3.437962e+004,3.439008e+004,3.439323e+004,3.442459e+004,3.437495e+004,3.446837e+004
6.741620e+002,6.811190e+004,6.812338e+004,6.812130e+004,6.814241e+004,6.814893e+004,6.821329e+004,6.811190e+004,6.830171e+004,,8.125180e+002,3.405595e+004,3.406169e+004,3.406065e+004,3.407121e+004,3.407447e+004,3.410664e+004,3.405595e+004,3.415085e+004
6.742620e+002,6.855830e+004,6.856985e+004,6.856776e+004,6.858906e+004,6.859581e+004,6.866179e+004,6.855830e+004,6.875107e+004,,8.124180e+002,3.427915e+004,3.428492e+004,3.428388e+004,3.429453e+004,3.429791e+004,3.433090e+004,3.427915e+004,3.437554e+004
6.743620e+002,6.874940e+004,6.876102e+004,6.875892e+004,6.878040e+004,6.878739e+004,6.885541e+004,6.874940e+004,6.894554e+004,,8.123180e+002,3.437470e+004,3.438051e+004,3.437946e+004,3.439020e+004,3.439370e+004,3.442770e+004,3.437470e+004,3.447277e+004
6.744620e+002,6.835080e+004,6.836249e+004,6.836038e+004,6.838205e+004,6.838927e+004,6.845976e+004,6.835080e+004,6.855075e+004,,8.122180e+002,3.417540e+004,3.418125e+004,3.418019e+004,3.419102e+004,3.419464e+004,3.422988e+004,3.417540e+004,3.427538e+004
6.745620e+002,6.829900e+004,6.831077e+004,6.830865e+004,6.833049e+004,6.833802e+004,6.841091e+004,6.829900e+004,6.850284e+004,,8.121180e+002,3.414950e+004,3.415538e+004,3.415432e+004,3.416525e+004,3.416901e+004,3.420545e+004,3.414950e+004,3.425142e+004
6.746620e+002,6.814730e+004,6.815915e+004,6.815701e+004,6.817904e+004,6.818687e+004,6.826215e+004,6.814730e+004,6.835502e+004,,8.120180e+002,3.407365e+004,3.407957e+004,3.407851e+004,3.408952e+004,3.409344e+004,3.413108e+004,3.407365e+004,3.417751e+004
6.747620e+002,6.844680e+004,6.845872e+004,6.845658e+004,6.847878e+004,6.848692e+004,6.856460e+004,6.844680e+004,6.865841e+004,,8.119180e+002,3.422340e+004,3.422936e+004,3.422829e+004,3.423939e+004,3.424346e+004,3.428230e+004,3.422340e+004,3.432921e+004
6.748620e+002,6.899040e+004,6.900240e+004,6.900024e+004,6.902263e+004,6.903107e+004,6.911115e+004,6.899040e+004,6.920590e+004,,8.118180e+002,3.449520e+004,3.450120e+004,3.450012e+004,3.451131e+004,3.451554e+004,3.455558e+004,3.449520e+004,3.460295e+004
