"Cycle 1:CoOTf1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
7.957620e+002,7.343540e+003,7.308490e+003,7.308490e+003,,6.909180e+002,1.468708e+004,1.461698e+004,1.461698e+004
7.958620e+002,7.365220e+003,7.308377e+003,7.308377e+003,,6.908180e+002,1.473044e+004,1.461675e+004,1.461675e+004
7.959620e+002,7.249900e+003,7.308260e+003,7.308260e+003,,6.907180e+002,1.449980e+004,1.461652e+004,1.461652e+004
7.960620e+002,7.458340e+003,7.307960e+003,7.307960e+003,,6.906180e+002,1.491668e+004,1.461592e+004,1.461592e+004
7.961620e+002,7.618600e+003,7.307338e+003,7.307338e+003,,6.905180e+002,1.523720e+004,1.461468e+004,1.461468e+004
7.962620e+002,7.391080e+003,7.307170e+003,7.307170e+003,,6.904180e+002,1.478216e+004,1.461434e+004,1.461434e+004
7.963620e+002,7.809640e+003,7.306165e+003,7.306165e+003,,6.903180e+002,1.561928e+004,1.461233e+004,1.461233e+004
7.964620e+002,7.816220e+003,7.305144e+003,7.305144e+003,,6.902180e+002,1.563244e+004,1.461029e+004,1.461029e+004
7.965620e+002,7.915310e+003,7.303922e+003,7.303922e+003,,6.901180e+002,1.583062e+004,1.460784e+004,1.460784e+004
7.966620e+002,8.307720e+003,7.301913e+003,7.301913e+003,,6.900180e+002,1.661544e+004,1.460383e+004,1.460383e+004
7.967620e+002,8.403500e+003,7.299708e+003,7.299708e+003,,6.899180e+002,1.680700e+004,1.459942e+004,1.459942e+004
7.968620e+002,8.587510e+003,7.297131e+003,7.297131e+003,,6.898180e+002,1.717502e+004,1.459426e+004,1.459426e+004
7.969620e+002,8.729750e+003,7.294263e+003,7.294263e+003,,6.897180e+002,1.745950e+004,1.458853e+004,1.458853e+004
7.970620e+002,8.934860e+003,7.290980e+003,7.290980e+003,,6.896180e+002,1.786972e+004,1.458196e+004,1.458196e+004
7.971620e+002,9.473990e+003,7.286610e+003,7.286610e+003,,6.895180e+002,1.894798e+004,1.457322e+004,1.457322e+004
7.972620e+002,9.937240e+003,7.281305e+003,7.281305e+003,,6.894180e+002,1.987448e+004,1.456261e+004,1.456261e+004
7.973620e+002,1.056280e+004,7.274737e+003,7.274737e+003,,6.893180e+002,2.112560e+004,1.454947e+004,1.454947e+004
7.974620e+002,1.086150e+004,7.267558e+003,7.267558e+003,,6.892180e+002,2.172300e+004,1.453512e+004,1.453512e+004
7.975620e+002,1.132930e+004,7.259428e+003,7.259428e+003,,6.891180e+002,2.265860e+004,1.451886e+004,1.451886e+004
7.976620e+002,1.190690e+004,7.250126e+003,7.250126e+003,,6.890180e+002,2.381380e+004,1.450025e+004,1.450025e+004
7.977620e+002,1.265530e+004,7.239307e+003,7.239307e+003,,6.889180e+002,2.531060e+004,1.447861e+004,1.447861e+004
7.978620e+002,1.329030e+004,7.227196e+003,7.227196e+003,,6.888180e+002,2.658060e+004,1.445439e+004,1.445439e+004
7.979620e+002,1.383180e+004,7.213977e+003,7.213977e+003,,6.887180e+002,2.766360e+004,1.442795e+004,1.442795e+004
7.980620e+002,1.438810e+004,7.199618e+003,7.199618e+003,,6.886180e+002,2.877620e+004,1.439924e+004,1.439924e+004
7.981620e+002,1.489750e+004,7.184210e+003,7.184210e+003,,6.885180e+002,2.979500e+004,1.436842e+004,1.436842e+004
7.982620e+002,1.543250e+004,7.167701e+003,7.167701e+003,,6.884180e+002,3.086500e+004,1.433540e+004,1.433540e+004
7.983620e+002,1.595610e+004,7.150110e+003,7.150110e+003,,6.883180e+002,3.191220e+004,1.430022e+004,1.430022e+004
7.984620e+002,1.609660e+004,7.132204e+003,7.132204e+003,,6.882180e+002,3.219320e+004,1.426441e+004,1.426441e+004
