"Cycle 1:CoEchem1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.56","782.07","786.19","796.93","802.59",
FWHM,,"3.36","3.36","6.00","3.53","5.19",
Area,,"10393.60","7912.32","12828.12","7306.91","6166.48",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.726240e+002,2.751740e+004,2.751924e+004,2.751894e+004,2.752336e+004,2.752268e+004,2.753326e+004,2.751740e+004,2.754788e+004,,8.140560e+002,1.375870e+004,1.375962e+004,1.375947e+004,1.376168e+004,1.376134e+004,1.376663e+004,1.375870e+004,1.377394e+004
6.727240e+002,2.758470e+004,2.758655e+004,2.758625e+004,2.759070e+004,2.759004e+004,2.760092e+004,2.758470e+004,2.761566e+004,,8.139560e+002,1.379235e+004,1.379328e+004,1.379312e+004,1.379535e+004,1.379502e+004,1.380046e+004,1.379235e+004,1.380783e+004
6.728240e+002,2.728400e+004,2.728586e+004,2.728556e+004,2.729004e+004,2.728941e+004,2.730057e+004,2.728400e+004,2.731544e+004,,8.138560e+002,1.364200e+004,1.364293e+004,1.364278e+004,1.364502e+004,1.364470e+004,1.365029e+004,1.364200e+004,1.365772e+004
6.729240e+002,2.748360e+004,2.748548e+004,2.748517e+004,2.748969e+004,2.748908e+004,2.750053e+004,2.748360e+004,2.751554e+004,,8.137560e+002,1.374180e+004,1.374274e+004,1.374258e+004,1.374484e+004,1.374454e+004,1.375026e+004,1.374180e+004,1.375777e+004
6.730240e+002,2.746660e+004,2.746849e+004,2.746818e+004,2.747274e+004,2.747215e+004,2.748388e+004,2.746660e+004,2.749903e+004,,8.136560e+002,1.373330e+004,1.373424e+004,1.373409e+004,1.373637e+004,1.373607e+004,1.374194e+004,1.373330e+004,1.374951e+004
6.731240e+002,2.745720e+004,2.745910e+004,2.745879e+004,2.746338e+004,2.746281e+004,2.747483e+004,2.745720e+004,2.749012e+004,,8.135560e+002,1.372860e+004,1.372955e+004,1.372939e+004,1.373169e+004,1.373141e+004,1.373742e+004,1.372860e+004,1.374506e+004
6.732240e+002,2.776710e+004,2.776901e+004,2.776870e+004,2.777333e+004,2.777278e+004,2.778509e+004,2.776710e+004,2.780051e+004,,8.134560e+002,1.388355e+004,1.388450e+004,1.388435e+004,1.388667e+004,1.388639e+004,1.389254e+004,1.388355e+004,1.390026e+004
6.733240e+002,2.776040e+004,2.776232e+004,2.776201e+004,2.776668e+004,2.776615e+004,2.777874e+004,2.776040e+004,2.779430e+004,,8.133560e+002,1.388020e+004,1.388116e+004,1.388100e+004,1.388334e+004,1.388308e+004,1.388937e+004,1.388020e+004,1.389715e+004
6.734240e+002,2.772030e+004,2.772223e+004,2.772192e+004,2.772663e+004,2.772612e+004,2.773900e+004,2.772030e+004,2.775469e+004,,8.132560e+002,1.386015e+004,1.386112e+004,1.386096e+004,1.386331e+004,1.386306e+004,1.386950e+004,1.386015e+004,1.387735e+004
6.735240e+002,2.754850e+004,2.755045e+004,2.755013e+004,2.755487e+004,2.755440e+004,2.756755e+004,2.754850e+004,2.758340e+004,,8.131560e+002,1.377425e+004,1.377522e+004,1.377506e+004,1.377744e+004,1.377720e+004,1.378378e+004,1.377425e+004,1.379170e+004
6.736240e+002,2.758860e+004,2.759056e+004,2.759024e+004,2.759502e+004,2.759457e+004,2.760813e+004,2.758860e+004,2.762413e+004,,8.130560e+002,1.379430e+004,1.379528e+004,1.379512e+004,1.379751e+004,1.379729e+004,1.380407e+004,1.379430e+004,1.381206e+004
6.737240e+002,2.737350e+004,2.737547e+004,2.737515e+004,2.737997e+004,2.737955e+004,2.739353e+004,2.737350e+004,2.740967e+004,,8.129560e+002,1.368675e+004,1.368773e+004,1.368758e+004,1.368998e+004,1.368978e+004,1.369676e+004,1.368675e+004,1.370483e+004
6.738240e+002,2.737560e+004,2.737758e+004,2.737726e+004,2.738212e+004,2.738173e+004,2.739612e+004,2.737560e+004,2.741241e+004,,8.128560e+002,1.368780e+004,1.368879e+004,1.368863e+004,1.369106e+004,1.369087e+004,1.369806e+004,1.368780e+004,1.370621e+004
6.739240e+002,2.730670e+004,2.730869e+004,2.730837e+004,2.731326e+004,2.731291e+004,2.732772e+004,2.730670e+004,2.734416e+004,,8.127560e+002,1.365335e+004,1.365435e+004,1.365419e+004,1.365663e+004,1.365645e+004,1.366386e+004,1.365335e+004,1.367208e+004
6.740240e+002,2.738090e+004,2.738291e+004,2.738258e+004,2.738752e+004,2.738719e+004,2.740242e+004,2.738090e+004,2.741901e+004,,8.126560e+002,1.369045e+004,1.369145e+004,1.369129e+004,1.369376e+004,1.369359e+004,1.370121e+004,1.369045e+004,1.370950e+004
