"Cycle 1:CoEchem1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,"S 2p","S 2p",
Position,,"168.33","169.51",
FWHM,,"2.64","2.64",
Area,,"267.86","133.93",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.314724e+003,7.659660e+002,7.396524e+002,7.424325e+002,7.373079e+002,7.447770e+002,,1.719560e+002,7.659660e+002,7.396524e+002,7.424325e+002,7.373079e+002,7.447770e+002
1.314824e+003,7.295870e+002,7.399083e+002,7.432556e+002,7.373287e+002,7.458353e+002,,1.718560e+002,7.295870e+002,7.399083e+002,7.432556e+002,7.373287e+002,7.458353e+002
1.314924e+003,7.802000e+002,7.402991e+002,7.442938e+002,7.374435e+002,7.471495e+002,,1.717560e+002,7.802000e+002,7.402991e+002,7.442938e+002,7.374435e+002,7.471495e+002
1.315024e+003,7.489350e+002,7.406552e+002,7.453792e+002,7.374743e+002,7.485602e+002,,1.716560e+002,7.489350e+002,7.406552e+002,7.453792e+002,7.374743e+002,7.485602e+002
1.315124e+003,7.262990e+002,7.410699e+002,7.466041e+002,7.375044e+002,7.501696e+002,,1.715560e+002,7.262990e+002,7.410699e+002,7.466041e+002,7.375044e+002,7.501696e+002
1.315224e+003,7.309990e+002,7.415429e+002,7.479636e+002,7.375219e+002,7.519847e+002,,1.714560e+002,7.309990e+002,7.415429e+002,7.479636e+002,7.375219e+002,7.519847e+002
1.315324e+003,7.683320e+002,7.421653e+002,7.495399e+002,7.376044e+002,7.541009e+002,,1.713560e+002,7.683320e+002,7.421653e+002,7.495399e+002,7.376044e+002,7.541009e+002
1.315424e+003,8.047200e+002,7.429846e+002,7.513665e+002,7.377842e+002,7.565669e+002,,1.712560e+002,8.047200e+002,7.429846e+002,7.513665e+002,7.377842e+002,7.565669e+002
1.315524e+003,7.073290e+002,7.438229e+002,7.532453e+002,7.378662e+002,7.592020e+002,,1.711560e+002,7.073290e+002,7.438229e+002,7.532453e+002,7.378662e+002,7.592020e+002
1.315624e+003,7.276550e+002,7.447423e+002,7.552120e+002,7.378936e+002,7.620607e+002,,1.710560e+002,7.276550e+002,7.447423e+002,7.552120e+002,7.378936e+002,7.620607e+002
1.315724e+003,7.386430e+002,7.457927e+002,7.572828e+002,7.378957e+002,7.651798e+002,,1.709560e+002,7.386430e+002,7.457927e+002,7.572828e+002,7.378957e+002,7.651798e+002
1.315824e+003,7.769520e+002,7.471243e+002,7.595675e+002,7.380003e+002,7.686916e+002,,1.708560e+002,7.769520e+002,7.471243e+002,7.595675e+002,7.380003e+002,7.686916e+002
1.315924e+003,7.526510e+002,7.485915e+002,7.618746e+002,7.380395e+002,7.724266e+002,,1.707560e+002,7.526510e+002,7.485915e+002,7.618746e+002,7.380395e+002,7.724266e+002
1.316024e+003,8.068210e+002,7.504273e+002,7.643851e+002,7.382237e+002,7.765887e+002,,1.706560e+002,8.068210e+002,7.504273e+002,7.643851e+002,7.382237e+002,7.765887e+002
1.316124e+003,8.275680e+002,7.525640e+002,7.669745e+002,7.384630e+002,7.810754e+002,,1.705560e+002,8.275680e+002,7.525640e+002,7.669745e+002,7.384630e+002,7.810754e+002
1.316224e+003,7.447250e+002,7.547442e+002,7.693264e+002,7.384798e+002,7.855908e+002,,1.704560e+002,7.447250e+002,7.547442e+002,7.693264e+002,7.384798e+002,7.855908e+002
1.316324e+003,8.004440e+002,7.573578e+002,7.717702e+002,7.386458e+002,7.904822e+002,,1.703560e+002,8.004440e+002,7.573578e+002,7.717702e+002,7.386458e+002,7.904822e+002
1.316424e+003,8.205160e+002,7.603217e+002,7.741656e+002,7.388651e+002,7.956222e+002,,1.702560e+002,8.205160e+002,7.603217e+002,7.741656e+002,7.388651e+002,7.956222e+002
1.316524e+003,8.008300e+002,7.635368e+002,7.763600e+002,7.390310e+002,8.008657e+002,,1.701560e+002,8.008300e+002,7.635368e+002,7.763600e+002,7.390310e+002,8.008657e+002
1.316624e+003,7.829440e+002,7.670086e+002,7.783138e+002,7.391486e+002,8.061738e+002,,1.700560e+002,7.829440e+002,7.670086e+002,7.783138e+002,7.391486e+002,8.061738e+002
1.316724e+003,8.136650e+002,7.708599e+002,7.801152e+002,7.393482e+002,8.116269e+002,,1.699560e+002,8.136650e+002,7.708599e+002,7.801152e+002,7.393482e+002,8.116269e+002
1.316824e+003,8.362560e+002,7.750520e+002,7.817037e+002,7.396078e+002,8.171479e+002,,1.698560e+002,8.362560e+002,7.750520e+002,7.817037e+002,7.396078e+002,8.171479e+002
1.316924e+003,8.490600e+002,7.795307e+002,7.830205e+002,7.399009e+002,8.226503e+002,,1.697560e+002,8.490600e+002,7.795307e+002,7.830205e+002,7.399009e+002,8.226503e+002
1.317024e+003,8.185900e+002,7.841412e+002,7.839234e+002,7.401117e+002,8.279529e+002,,1.696560e+002,8.185900e+002,7.841412e+002,7.839234e+002,7.401117e+002,8.279529e+002
1.317124e+003,8.570320e+002,7.890184e+002,7.845791e+002,7.404248e+002,8.331727e+002,,1.695560e+002,8.570320e+002,7.890184e+002,7.845791e+002,7.404248e+002,8.331727e+002
1.317224e+003,8.560930e+002,7.939959e+002,7.848738e+002,7.407346e+002,8.381350e+002,,1.694560e+002,8.560930e+002,7.939959e+002,7.848738e+002,7.407346e+002,8.381350e+002
1.317324e+003,8.225810e+002,7.989159e+002,7.847205e+002,7.409539e+002,8.426825e+002,,1.693560e+002,8.225810e+002,7.989159e+002,7.847205e+002,7.409539e+002,8.426825e+002
1.317424e+003,8.314960e+002,8.038126e+002,7.842428e+002,7.411964e+002,8.468591e+002,,1.692560e+002,8.314960e+002,8.038126e+002,7.842428e+002,7.411964e+002,8.468591e+002
1.317524e+003,8.137370e+002,8.085290e+002,7.833875e+002,7.413907e+002,8.505258e+002,,1.691560e+002,8.137370e+002,8.085290e+002,7.833875e+002,7.413907e+002,8.505258e+002
1.317624e+003,8.337440e+002,8.130765e+002,7.822814e+002,7.416380e+002,8.537199e+002,,1.690560e+002,8.337440e+002,8.130765e+002,7.822814e+002,7.416380e+002,8.537199e+002
1.317724e+003,8.967790e+002,8.174794e+002,7.810739e+002,7.420535e+002,8.564997e+002,,1.689560e+002,8.967790e+002,8.174794e+002,7.810739e+002,7.420535e+002,8.564997e+002
1.317824e+003,8.070910e+002,8.212395e+002,7.793940e+002,7.422277e+002,8.584058e+002,,1.688560e+002,8.070910e+002,8.212395e+002,7.793940e+002,7.422277e+002,8.584058e+002
1.317924e+003,8.882560e+002,8.247307e+002,7.777426e+002,7.426188e+002,8.598545e+002,,1.687560e+002,8.882560e+002,8.247307e+002,7.777426e+002,7.426188e+002,8.598545e+002
1.318024e+003,8.712950e+002,8.276154e+002,7.759012e+002,7.429635e+002,8.605532e+002,,1.686560e+002,8.712950e+002,8.276154e+002,7.759012e+002,7.429635e+002,8.605532e+002
1.318124e+003,8.526680e+002,8.298269e+002,7.739107e+002,7.432573e+002,8.604802e+002,,1.685560e+002,8.526680e+002,8.298269e+002,7.739107e+002,7.432573e+002,8.604802e+002
1.318224e+003,8.550010e+002,8.313730e+002,7.718719e+002,7.435566e+002,8.596883e+002,,1.684560e+002,8.550010e+002,8.313730e+002,7.718719e+002,7.435566e+002,8.596883e+002
1.318324e+003,8.701060e+002,8.322560e+002,7.698614e+002,7.438955e+002,8.582219e+002,,1.683560e+002,8.701060e+002,8.322560e+002,7.698614e+002,7.438955e+002,8.582219e+002
1.318424e+003,8.965580e+002,8.324914e+002,7.679477e+002,7.443044e+002,8.561347e+002,,1.682560e+002,8.965580e+002,8.324914e+002,7.679477e+002,7.443044e+002,8.561347e+002
1.318524e+003,8.452360e+002,8.318748e+002,7.659564e+002,7.445747e+002,8.532564e+002,,1.681560e+002,8.452360e+002,8.318748e+002,7.659564e+002,7.445747e+002,8.532564e+002
1.318624e+003,8.901820e+002,8.306884e+002,7.641745e+002,7.449647e+002,8.498982e+002,,1.680560e+002,8.901820e+002,8.306884e+002,7.641745e+002,7.449647e+002,8.498982e+002
1.318724e+003,8.198680e+002,8.286633e+002,7.623167e+002,7.451653e+002,8.458146e+002,,1.679560e+002,8.198680e+002,8.286633e+002,7.623167e+002,7.451653e+002,8.458146e+002
1.318824e+003,8.148450e+002,8.260304e+002,7.605757e+002,7.453520e+002,8.412542e+002,,1.678560e+002,8.148450e+002,8.260304e+002,7.605757e+002,7.453520e+002,8.412542e+002
1.318924e+003,8.201290e+002,8.228864e+002,7.589915e+002,7.455522e+002,8.363257e+002,,1.677560e+002,8.201290e+002,8.228864e+002,7.589915e+002,7.455522e+002,8.363257e+002
1.319024e+003,8.415170e+002,8.193524e+002,7.576144e+002,7.458093e+002,8.311575e+002,,1.676560e+002,8.415170e+002,8.193524e+002,7.576144e+002,7.458093e+002,8.311575e+002
1.319124e+003,7.970390e+002,8.153396e+002,7.562703e+002,7.459465e+002,8.256634e+002,,1.675560e+002,7.970390e+002,8.153396e+002,7.562703e+002,7.459465e+002,8.256634e+002
1.319224e+003,8.203610e+002,8.111200e+002,7.551401e+002,7.461458e+002,8.201144e+002,,1.674560e+002,8.203610e+002,8.111200e+002,7.551401e+002,7.461458e+002,8.201144e+002
1.319324e+003,8.189730e+002,8.067181e+002,7.541525e+002,7.463408e+002,8.145298e+002,,1.673560e+002,8.189730e+002,8.067181e+002,7.541525e+002,7.463408e+002,8.145298e+002
1.319424e+003,7.928040e+002,8.021554e+002,7.532338e+002,7.464653e+002,8.089240e+002,,1.672560e+002,7.928040e+002,8.021554e+002,7.532338e+002,7.464653e+002,8.089240e+002
1.319524e+003,8.075650e+002,7.976248e+002,7.524846e+002,7.466289e+002,8.034805e+002,,1.671560e+002,8.075650e+002,7.976248e+002,7.524846e+002,7.466289e+002,8.034805e+002
1.319624e+003,7.583760e+002,7.930305e+002,7.517230e+002,7.466604e+002,7.980931e+002,,1.670560e+002,7.583760e+002,7.930305e+002,7.517230e+002,7.466604e+002,7.980931e+002
1.319724e+003,8.397750e+002,7.887884e+002,7.512881e+002,7.469097e+002,7.931668e+002,,1.669560e+002,8.397750e+002,7.887884e+002,7.512881e+002,7.469097e+002,7.931668e+002
1.319824e+003,7.722520e+002,7.845546e+002,7.507691e+002,7.469776e+002,7.883461e+002,,1.668560e+002,7.722520e+002,7.845546e+002,7.507691e+002,7.469776e+002,7.883461e+002
1.319924e+003,7.875020e+002,7.805957e+002,7.503766e+002,7.470861e+002,7.838862e+002,,1.667560e+002,7.875020e+002,7.805957e+002,7.503766e+002,7.470861e+002,7.838862e+002
1.320024e+003,7.998930e+002,7.769373e+002,7.500923e+002,7.472275e+002,7.798020e+002,,1.666560e+002,7.998930e+002,7.769373e+002,7.500923e+002,7.472275e+002,7.798020e+002
1.320124e+003,7.902060e+002,7.735431e+002,7.498466e+002,7.473426e+002,7.760471e+002,,1.665560e+002,7.902060e+002,7.735431e+002,7.498466e+002,7.473426e+002,7.760471e+002
1.320224e+003,7.455480e+002,7.703409e+002,7.495467e+002,7.473475e+002,7.725401e+002,,1.664560e+002,7.455480e+002,7.703409e+002,7.495467e+002,7.473475e+002,7.725401e+002
1.320324e+003,7.485270e+002,7.674429e+002,7.492926e+002,7.473506e+002,7.693849e+002,,1.663560e+002,7.485270e+002,7.674429e+002,7.492926e+002,7.473506e+002,7.693849e+002
1.320424e+003,7.502530e+002,7.648509e+002,7.490834e+002,7.473584e+002,7.665759e+002,,1.662560e+002,7.502530e+002,7.648509e+002,7.490834e+002,7.473584e+002,7.665759e+002
1.320524e+003,7.939190e+002,7.626670e+002,7.490247e+002,7.474831e+002,7.642086e+002,,1.661560e+002,7.939190e+002,7.626670e+002,7.490247e+002,7.474831e+002,7.642086e+002
1.320624e+003,7.785250e+002,7.607178e+002,7.489526e+002,7.475662e+002,7.621042e+002,,1.660560e+002,7.785250e+002,7.607178e+002,7.489526e+002,7.475662e+002,7.621042e+002
1.320724e+003,8.281610e+002,7.591578e+002,7.490366e+002,7.477821e+002,7.604124e+002,,1.659560e+002,8.281610e+002,7.591578e+002,7.490366e+002,7.477821e+002,7.604124e+002
1.320824e+003,7.589040e+002,7.576470e+002,7.489540e+002,7.478118e+002,7.587892e+002,,1.658560e+002,7.589040e+002,7.576470e+002,7.489540e+002,7.478118e+002,7.587892e+002
1.320924e+003,7.951710e+002,7.564460e+002,7.490234e+002,7.479387e+002,7.575307e+002,,1.657560e+002,7.951710e+002,7.564460e+002,7.490234e+002,7.479387e+002,7.575307e+002
1.321024e+003,7.520400e+002,7.553190e+002,7.489291e+002,7.479496e+002,7.562985e+002,,1.656560e+002,7.520400e+002,7.553190e+002,7.489291e+002,7.479496e+002,7.562985e+002
1.321124e+003,7.178720e+002,7.544298e+002,7.489284e+002,7.480306e+002,7.553276e+002,,1.655560e+002,7.178720e+002,7.544298e+002,7.489284e+002,7.480306e+002,7.553276e+002
1.321224e+003,7.908630e+002,7.537207e+002,7.489897e+002,7.481453e+002,7.545650e+002,,1.654560e+002,7.908630e+002,7.537207e+002,7.489897e+002,7.481453e+002,7.545650e+002
1.321324e+003,7.656690e+002,7.530701e+002,7.489832e+002,7.481923e+002,7.538610e+002,,1.653560e+002,7.656690e+002,7.530701e+002,7.489832e+002,7.481923e+002,7.538610e+002
1.321424e+003,7.624530e+002,7.525190e+002,7.489679e+002,7.482304e+002,7.532564e+002,,1.652560e+002,7.624530e+002,7.525190e+002,7.489679e+002,7.482304e+002,7.532564e+002
1.321524e+003,7.507860e+002,7.520285e+002,7.489213e+002,7.482373e+002,7.527125e+002,,1.651560e+002,7.507860e+002,7.520285e+002,7.489213e+002,7.482373e+002,7.527125e+002
1.321624e+003,6.948150e+002,7.517526e+002,7.490243e+002,7.483811e+002,7.523958e+002,,1.650560e+002,6.948150e+002,7.517526e+002,7.490243e+002,7.483811e+002,7.523958e+002
1.321724e+003,7.350790e+002,7.514339e+002,7.490289e+002,7.484170e+002,7.520459e+002,,1.649560e+002,7.350790e+002,7.514339e+002,7.490289e+002,7.484170e+002,7.520459e+002
1.321824e+003,7.589090e+002,7.511617e+002,7.490258e+002,7.484451e+002,7.517424e+002,,1.648560e+002,7.589090e+002,7.511617e+002,7.490258e+002,7.484451e+002,7.517424e+002
1.321924e+003,7.686410e+002,7.509605e+002,7.490486e+002,7.484991e+002,7.515100e+002,,1.647560e+002,7.686410e+002,7.509605e+002,7.490486e+002,7.484991e+002,7.515100e+002
1.322024e+003,7.994710e+002,7.509736e+002,7.491539e+002,7.486356e+002,7.514918e+002,,1.646560e+002,7.994710e+002,7.509736e+002,7.491539e+002,7.486356e+002,7.514918e+002
1.322124e+003,7.905130e+002,7.508752e+002,7.492420e+002,7.487478e+002,7.513694e+002,,1.645560e+002,7.905130e+002,7.508752e+002,7.492420e+002,7.487478e+002,7.513694e+002
1.322224e+003,7.401440e+002,7.506879e+002,7.492444e+002,7.487710e+002,7.511613e+002,,1.644560e+002,7.401440e+002,7.506879e+002,7.492444e+002,7.487710e+002,7.511613e+002
1.322324e+003,7.470850e+002,7.505497e+002,7.492282e+002,7.487755e+002,7.510024e+002,,1.643560e+002,7.470850e+002,7.505497e+002,7.492282e+002,7.487755e+002,7.510024e+002
1.322424e+003,7.718540e+002,7.505046e+002,7.492692e+002,7.488373e+002,7.509366e+002,,1.642560e+002,7.718540e+002,7.505046e+002,7.492692e+002,7.488373e+002,7.509366e+002
1.322524e+003,7.363610e+002,7.504314e+002,7.492821e+002,7.488709e+002,7.508425e+002,,1.641560e+002,7.363610e+002,7.504314e+002,7.492821e+002,7.488709e+002,7.508425e+002
1.322624e+003,7.270800e+002,7.503832e+002,7.493247e+002,7.489296e+002,7.507783e+002,,1.640560e+002,7.270800e+002,7.503832e+002,7.493247e+002,7.489296e+002,7.507783e+002
1.322724e+003,7.721340e+002,7.503384e+002,7.493720e+002,7.489917e+002,7.507187e+002,,1.639560e+002,7.721340e+002,7.503384e+002,7.493720e+002,7.489917e+002,7.507187e+002
1.322824e+003,7.398740e+002,7.502902e+002,7.493818e+002,7.490163e+002,7.506557e+002,,1.638560e+002,7.398740e+002,7.502902e+002,7.493818e+002,7.490163e+002,7.506557e+002
1.322924e+003,7.448750e+002,7.502389e+002,7.493781e+002,7.490275e+002,7.505895e+002,,1.637560e+002,7.448750e+002,7.502389e+002,7.493781e+002,7.490275e+002,7.505895e+002
1.323024e+003,7.725940e+002,7.502395e+002,7.494264e+002,7.490906e+002,7.505753e+002,,1.636560e+002,7.725940e+002,7.502395e+002,7.494264e+002,7.490906e+002,7.505753e+002
1.323124e+003,7.594170e+002,7.502047e+002,7.494426e+002,7.491182e+002,7.505291e+002,,1.635560e+002,7.594170e+002,7.502047e+002,7.494426e+002,7.491182e+002,7.505291e+002
1.323224e+003,7.162850e+002,7.502306e+002,7.495200e+002,7.492066e+002,7.505440e+002,,1.634560e+002,7.162850e+002,7.502306e+002,7.495200e+002,7.492066e+002,7.505440e+002
1.323324e+003,7.080010e+002,7.502976e+002,7.496199e+002,7.493176e+002,7.505999e+002,,1.633560e+002,7.080010e+002,7.502976e+002,7.496199e+002,7.493176e+002,7.505999e+002
1.323424e+003,7.752360e+002,7.503255e+002,7.496782e+002,7.493870e+002,7.506167e+002,,1.632560e+002,7.752360e+002,7.503255e+002,7.496782e+002,7.493870e+002,7.506167e+002
1.323524e+003,7.660790e+002,7.669760e+002,7.663592e+002,7.660790e+002,7.672562e+002,,1.631560e+002,7.660790e+002,7.669760e+002,7.663592e+002,7.660790e+002,7.672562e+002
1.323624e+003,7.510430e+002,7.518985e+002,7.513147e+002,7.510430e+002,7.521702e+002,,1.630560e+002,7.510430e+002,7.518985e+002,7.513147e+002,7.510430e+002,7.521702e+002
1.323724e+003,7.696480e+002,7.704620e+002,7.699112e+002,7.696480e+002,7.707252e+002,,1.629560e+002,7.696480e+002,7.704620e+002,7.699112e+002,7.696480e+002,7.707252e+002
